id|name|postalCode|district
1101010001|LATIUNG|23895|1101010
1101010002|LABUHAN BAJAU|23895|1101010
1101010003|SUAK LAMATAN|23895|1101010
1101010004|ANA AO|23895|1101010
1101010005|LATALING|23895|1101010
1101010006|PULAU BENGKALAK|23895|1101010
1101010007|BADEGONG|23895|1101010
1101010008|KEBUN BARU|23895|1101010
1101010009|ULUL MAYANG|23895|1101010
1101010010|PASIR TINGGI|23895|1101010
1101010011|LABUHAN JAYA|23895|1101010
1101010012|LABUHAN BAKTI|23895|1101010
1101010013|BATU RALANG|23895|1101010
1101010014|ALUS ALUS|23895|1101010
1101010016|BLANG SEBEL|23895|1101010
1101020022|AIR PINANG|23891|1101020
1101020023|KUALA MAKMUR|23891|1101020
1101020024|GANTING|23891|1101020
1101020025|LINGGI|23891|1101020
1101020026|LUGU|23891|1101020
1101020027|SINABANG|23891|1101020
1101020028|SUKA MAJU|23891|1101020
1101020029|SUKA KARYA|23891|1101020
1101020030|SUKA JAYA|23891|1101020
1101020031|AIR DINGIN|23891|1101020
1101020032|KOTA BATU|23891|1101020
1101020035|SUAK BULUH|23891|1101020
1101020036|UJUNG TINGGI|23891|1101020
1101020037|PULAU SIUMAT|23891|1101020
1101020038|SEFOYAN|23891|1101020
1101020040|AMERIA BAHAGIA|23891|1101020
1101021002|LEUBANG|23896|1101021
1101021003|LEUBANG HULU|23896|1101021
1101021004|AWE SEUBAL|23896|1101021
1101021005|LANTIK|23896|1101021
1101021006|AWE KECIL|23896|1101021
1101021007|SALUR|23896|1101021
1101021008|SALUR LATUN|23896|1101021
1101021009|SALUR LASENGALU|23896|1101021
1101021010|NANCALA|23896|1101021
1101021011|MAUDIL|23896|1101021
1101021012|INOR|23896|1101021
1101021013|NAIBOS|23896|1101021
1101021014|LAAYON|23896|1101021
1101021015|ANGKEO|23896|1101021
1101021016|BUNON|23896|1101021
1101021017|SILENGAS|23896|1101021
1101021018|PULAU TEUPAH|23896|1101021
1101030001|DIHIT|23894|1101030
1101030002|LAUKE|23894|1101030
1101030003|LAMBAYA|23894|1101030
1101030004|LAKUBANG|23894|1101030
1101030005|KAMPUNG AIE|23894|1101030
1101030007|LATITIK|23894|1101030
1101030008|LAMAYANG|23894|1101030
1101030009|WEL WEL|23894|1101030
1101030020|SITUFA JAYA|23894|1101030
1101030021|PUTRA JAYA|23894|1101030
1101030022|LUAN SORIP|23894|1101030
1101030023|SUAK BARU|23894|1101030
1101030024|SEBBE|23894|1101030
1101030025|KUTA BARU|23894|1101030
1101031001|KUALA BAKTI|23897|1101031
1101031002|LUGU SEBAHAK|23897|1101031
1101031003|GUNUNG PUTIH|23897|1101031
1101031004|BABUSSALAM|23897|1101031
1101031005|MUARA AMAN|23897|1101031
1101031006|LUAN BALU|23897|1101031
1101031007|SAMBAI|23897|1101031
1101031008|KUALA BARU|23897|1101031
1101031009|TANJUNG RAYA|23897|1101031
1101031010|BULU HADIK|23897|1101031
1101040001|UJUNG SALANG|23893|1101040
1101040002|PADANG UNOI|23893|1101040
1101040003|MEUNAFA|23893|1101040
1101040004|NASREUHE|23893|1101040
1101040006|PANTON LAWE|23893|1101040
1101040007|MUTIARA|23893|1101040
1101040008|KARYA BAKTI|23893|1101040
1101040009|TAMON JAYA|23893|1101040
1101040010|JAYA BARU|23893|1101040
1101040011|TAMENG|23893|1101040
1101040012|LALLA BAHAGIA|23893|1101040
1101040013|SUAK MANANG|23893|1101040
1101040014|BUNGA|23893|1101040
1101040015|GANANG PUSAKO|23893|1101040
1101040016|KENANGAN JAYA|23893|1101040
1101050007|SANGGIRAN|23892|1101050
1101050008|AMABAAN|23892|1101050
1101050009|MITEUM|23892|1101050
1101050010|MALASIN|23892|1101050
1101050011|LAMAMEK|23892|1101050
1101050012|SIGULAI|23892|1101050
1101050013|SEMBILAN|23892|1101050
1101050014|LAYABAUNG|23892|1101050
1101050015|LHOK MAKMUR|23892|1101050
1101050016|UJUNG HARAPAN|23892|1101050
1101050017|LHOK BIKHAO|23892|1101050
1101050018|BABUL MAKMUR|23892|1101050
1101050019|BATU RAGI|23892|1101050
1101050020|SINAR BAHAGIA|23892|1101050
1101051001|LAFAKHA|23898|1101051
1101051002|LHOK DALAM|23898|1101051
1101051003|LUBUK BAIK|23898|1101051
1101051004|LANGI|23898|1101051
1101051005|SERAFON|23898|1101051
1101051006|LHOK PAUH|23898|1101051
1101051007|LAMEREM|23898|1101051
1101051008|LEWAK|23898|1101051
1102010003|PULAU BAGUK|24791|1102010
1102010004|PULAU BALAI|24791|1102010
1102010005|TELUK NIBUNG|24791|1102010
1102011001|ASANTOLA|24792|1102011
1102011002|UJUNG SIALIT|24792|1102011
1102011003|HALOBAN|24792|1102011
1102011004|SUKA MAKMUR|24792|1102011
1102020003|PULO SAROK|24785|1102020
1102020004|PASAR SINGKIL|24785|1102020
1102020006|KOTA SIMBOLING|24785|1102020
1102020007|KILANGAN|24785|1102020
1102020009|TELUK AMBUN|24785|1102020
1102020010|RANTAU GEDANG|24785|1102020
1102020011|TELUK RUMBIA|24785|1102020
1102020012|TAKAL PASIR|24785|1102020
1102020013|SELOK ACEH|24785|1102020
1102020014|PEA BUMBUNG|24785|1102020
1102020015|PEMUKA|24785|1102020
1102020019|SUKA DAMAI|24785|1102020
1102020020|UJUNG BAWANG|24785|1102020
1102020021|SITI AMBIA|24785|1102020
1102020022|SUKA MAKMUR|24785|1102020
1102021001|GOSONG TELAGA UTARA|24787|1102021
1102021003|GOSONG TELAGA TIMUR|24787|1102021
1102021004|TELAGA BAKTI|24787|1102021
1102021005|KAMPUNG BARU|24787|1102021
1102021006|KETAPANG INDAH|24787|1102021
1102021007|GOSONG TELAGA BARAT|24787|1102021
1102022001|KAYU MENANG|24788|1102022
1102022002|KUALA BARU SUNGAI|24788|1102022
1102022003|KUALA BARU LAUT|24788|1102022
1102022004|SUKA JAYA|24788|1102022
1102030017|PANGI|24783|1102030
1102030026|TUGAN|24783|1102030
1102030027|CIBUBUKAN|24783|1102030
